@id,@type,@lat,@lon,name,operator,industrial,man_made,amenity,power,landuse,product,addr:housenumber,addr:street,addr:city,addr:state,addr:postcode,addr:country
368174422,node,33.9486260,-117.4544916,Arlington Water Plant Number 2,,,water_works,,,,,,,,CA,,
368174423,node,41.9248910,-121.5665584,Pumping Plant D,,,water_works,,,,,,,,CA,,
368358899,node,36.4800462,-116.8756673,Harmony Borax Works,,,works,,,,,,,,,,
585365513,node,33.7910000,-118.2380000,Shell Los Angeles Refinery,,,works,,,,petroleum,,,,,,
909594358,node,34.2888575,-114.1826793,,,,water_works,,,,,,,,,,
1257031126,node,37.4589808,-122.1528961,Studio Cake,,,works,,,,,104,,,,,
1278913628,node,39.0399388,-121.0060419,,,,water_works,,,,,,,,,,
1355949708,node,34.2069336,-114.4274760,,,,water_works,,,,,,,,,,
1355949737,node,34.2242195,-114.3164220,,,,water_works,,,,,,,,,,
1355949820,node,34.2177234,-114.3418513,,,,water_works,,,,,,,,,,
1355949864,node,34.2250759,-114.3157432,,,,water_works,,,,,,,,,,
1355949961,node,34.2069611,-114.4183865,,,,water_works,,,,,,,,,,
1355950263,node,34.2193370,-114.3323504,,,,water_works,,,,,,,,,,
1355950665,node,34.2068757,-114.4199939,,,,water_works,,,,,,,,,,
1773076880,node,38.8258374,-120.7267442,Corral,,,works,,,,,,,,,,
1884424724,node,39.0676713,-122.0901309,ADM Rice,,,works,,,,,,,,,,
1983805895,node,34.2015772,-114.4800073,,,,water_works,,,,,,,,,,
1983805896,node,34.2016518,-114.4643239,,,,water_works,,,,,,,,,,
1983805897,node,34.2016516,-114.4647923,,,,water_works,,,,,,,,,,
1983805898,node,34.2064591,-114.4018981,,,,water_works,,,,,,,,,,
1983805899,node,34.2067585,-114.4000972,,,,water_works,,,,,,,,,,
1983805900,node,34.2068360,-114.4053126,,,,water_works,,,,,,,,,,
1983805902,node,34.2069801,-114.3987314,,,,water_works,,,,,,,,,,
1983805903,node,34.2070057,-114.4059782,,,,water_works,,,,,,,,,,
1983805904,node,34.2070788,-114.3981294,,,,water_works,,,,,,,,,,
1983805905,node,34.2073209,-114.4162374,,,,water_works,,,,,,,,,,
1983805907,node,34.2097144,-114.3812226,,,,water_works,,,,,,,,,,
1983805908,node,34.2099232,-114.3797365,,,,water_works,,,,,,,,,,
1983805909,node,34.2134226,-114.3627048,,,,water_works,,,,,,,,,,
1983805910,node,34.2134979,-114.3622196,,,,water_works,,,,,,,,,,
1983805911,node,34.2178843,-114.3405316,,,,water_works,,,,,,,,,,
1983805912,node,34.2193160,-114.3329318,,,,water_works,,,,,,,,,,
2156986266,node,36.2922592,-121.4039803,Oil Test Well,,,works,,,,,,,,,,
2193686190,node,39.1450661,-121.1048076,,,,water_works,,,,,,,,,,
2193686212,node,39.1454487,-121.1046885,,,,water_works,,,,,,,,,,
2193686272,node,39.1460066,-121.1049713,,,,water_works,,,,,,,,,,
2297670410,node,35.9516640,-120.8680310,,,,works,,,,,,,,,,
2357522279,node,36.3045060,-118.0218340,Crystal Geyser,,,works,,,,,,,,,,
2366289656,node,38.8276505,-121.3049215,Cokeva,,electronics,,,,,,,,,,,
2978654208,node,38.0096183,-121.3002303,,,,water_works,,,,,802,Cave Lane,Stockton,,,
3031189159,node,37.7830179,-119.0733772,June Lake Public Utility District,,,water_works,,,,,,,,,,
3148391152,node,34.2083088,-119.0381216,Wholly Hemp,,,works,,,,,438C,Calle San Pablo,Camarillo,CA,93012,
3367407023,node,37.5356004,-122.2713849,,,,water_works,,,,,,,,,,
3415386928,node,34.6178979,-118.1168190,Skunk Works,,,works,,,,defense,,,,,,
3524712659,node,37.6342757,-120.9901020,Stanislaus Food Products,,,works,,,,food,,,,,,
3627921240,node,36.9573008,-122.0542854,Santa Cruz Nutritionals,,,works,,,,food;nutraceuticals,,,,,,
3633793724,node,37.3582052,-121.9436717,Santa Clara Plating Company,,,works,,,,,,,,,,
3678002354,node,37.3587117,-121.9479303,Forming Metals,,,works,,,,,,,,,,
3678154086,node,37.3488664,-121.9207309,Campbell Precision Sheet Metal,,,works,,,,,,,,,,
3678154087,node,37.3487523,-121.9209039,Valley Mechanical,,,works,,,,,,,,,,
3700437091,node,37.3473296,-121.9176523,Signs Now,,,works,,,,,972,Chestnut Street,San Jose,,95110,
3708705128,node,38.4054440,-123.0980159,,,,water_works,,,,,,,,,,
3711149854,node,37.3591997,-121.8956614,Prime Deco Furniture Manufacturing,,,works,,,,,,,,,,
3733958220,node,37.3589514,-121.9440338,Steelworx,,,works,,,,,,,,,,
3733958221,node,37.3588213,-121.9439721,Atlas Manufacturing & Supply,,,works,,,,,,,,,,
3733958222,node,37.3580751,-121.9436154,Carrera Millwork,,,works,,,,,,,,,,
3733958224,node,37.3574611,-121.9433204,J&J Fabrication,,,works,,,,,,,,,,
4055620191,node,34.2674408,-118.7217124,Currie Electric Bikes,,,works,,,,,,,,,,
4102604736,node,32.7781991,-117.0701300,CoGen Power Plant PTOs 975398 and 975399,,,,,plant,,,,,,,,
4282622611,node,34.1574343,-118.3253310,Camera,,,works,,,,,,,,,,
4282622612,node,34.1579714,-118.3253420,Ink & Paint,,,works,,,,,,,,,,
4282622613,node,34.1574276,-118.3248910,OPS CTR,,,works,,,,,,,,,,
4322261645,node,40.6159167,-124.2028021,Humboldt Creamery,,,works,,,,,,,,,,
4384734811,node,37.7936568,-122.2664582,China Noodle Inc,,,works,,,,noodles,,,,,,
4396983790,node,38.8116711,-121.2193905,Natural Dam,,,water_works,,,,,,,,,,
4537003168,node,37.9458776,-122.0034620,,Contra Costa Water District,,water_works,,,,,,,,,,
4537005144,node,37.9464555,-122.0025350,Cowell Ranch Reservoir and Pump Station,Contra Costa Water District,,water_works,,,,,,,,,,
4722524338,node,34.0937842,-118.0861014,Tur-Bo Jet Products,,,works,,,,,,,,,,
4773522030,node,33.7481724,-117.9878310,Midway City Water Tower,,,water_works,,,,,14751,Jackson Street,Midway City,CA,,
4897044480,node,37.3433103,-121.9116095,Sign Jose,,,works,,,,,748,Coleman Avenue,San Jose,CA,95110,
5280231420,node,38.4472147,-122.8298309,Delta Pond,,,water_works,,,,,,,,,,
5305551272,node,35.2589403,-120.6435972,Next Intent,,,works,,,,,,,,,,
